date	close	volume	open	high	low
2017-05-25	0.41	7450	0.43	0.4324	0.41
2017-05-24	0.4533	10291	0.4358	0.4533	0.4338
2017-05-23	0.4417	17877	0.4359	0.46	0.4359
2017-05-22	0.44	13991	0.43	0.46	0.43
2017-05-19	0.44	4909	0.43	0.46	0.43
2017-05-18	0.46	24833	0.43	0.46	0.43
2017-05-17	0.424	18599	0.4435	0.4435	0.4212
2017-05-16	0.433	15366	0.4292	0.4895	0.423
2017-05-15	0.4304	3859	0.45	0.45	0.4304
2017-05-12	0.4474	29425	0.4491	0.4491	0.42
2017-05-11	0.432	70070	0.5117	0.513	0.4256
2017-05-10	0.5525	92009	0.4716	0.5652	0.4715
2017-05-09	0.4245	423771	0.3974	0.51	0.3974
2017-05-08	0.37	0	0.37	0.37	0.37
2017-05-05	0.37	17300	0.37	0.39	0.368
2017-05-04	0.3961	5082	0.4169	0.4169	0.3961
2017-05-03	0.4174	29545	0.3756	0.4247	0.36
2017-05-02	0.4	43833	0.3282	0.4611	0.3279
2017-05-01	0.251	30100	0.058	0.251	0.058
2017-04-28	0.3402	40321	0.3312	0.348	0.288
2017-04-27	0.3402	41526	0.3234	0.3474	0.2922
2017-04-26	0.315	61051	0.3101	0.324	0.2706
2017-04-25	0.33	21917	0.3	0.3462	0.3
2017-04-24	0.351	5569	0.378	0.4068	0.3396
2017-04-21	0.36	17709	0.36	0.36	0.36
2017-04-20	0.36	11592	0.33	0.3828	0.3258
2017-04-19	0.33	32634	0.381	0.381	0.33
2017-04-18	0.3811	6629	0.417	0.417	0.36
2017-04-17	0.4074	1983	0.417	0.417	0.369
2017-04-13	0.39	8150	0.39	0.39	0.3534
2017-04-12	0.3894	13184	0.3768	0.42	0.3768
2017-04-11	0.3588	3586	0.3756	0.3756	0.3588
2017-04-10	0.3894	2275	0.408	0.408	0.3894
2017-04-07	0.3564	14069	0.4188	0.4188	0.3564
2017-04-06	0.411	1535	0.42	0.42	0.411
2017-04-05	0.4128	5154	0.4116	0.4134	0.4116
2017-04-04	0.4116	46301	0.3642	0.4146	0.3642
2017-04-03	0.3876	4200	0.366	0.3876	0.366
2017-03-31	0.3954	20856	0.4074	0.423	0.3954
2017-03-30	0.4206	15917	0.4128	0.4206	0.3534
2017-03-29	0.4128	2080	0.3936	0.4128	0.3936
2017-03-28	0.393	26614	0.444	0.4674	0.393
2017-03-27	0.4104	69796	0.39	0.4146	0.3354
